submission_id,role,condition,criterion_id,criterion_name,human_score,llm_score,absolute_delta,divergence_category,notes
S05,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.0,2.0,,
S05,official_sample,llm,unit_tests,Unit Tests,9.5,10.0,0.5,,
S05,official_sample,llm,class_design,Class Design,8.0,10.0,2.0,,
S05,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S05,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S05,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S05,official_sample,llm,readability_and_documentation,Readability and Documentation,9.0,10.0,1.0,,
S06,official_sample,llm,basic_functionality,Basic Functionality,8.5,8.5,0.0,,
S06,official_sample,llm,unit_tests,Unit Tests,9.0,10.0,1.0,,
S06,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S06,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S06,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S06,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S06,official_sample,llm,readability_and_documentation,Readability and Documentation,9.0,9.0,0.0,,
S07,official_sample,llm,basic_functionality,Basic Functionality,10.0,8.5,1.5,,
S07,official_sample,llm,unit_tests,Unit Tests,8.5,10.0,1.5,,
S07,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S07,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S07,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S07,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S07,official_sample,llm,readability_and_documentation,Readability and Documentation,9.5,10.0,0.5,,
S08,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.5,0.5,,
S08,official_sample,llm,unit_tests,Unit Tests,8.5,9.0,0.5,,
S08,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S08,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S08,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S08,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S08,official_sample,llm,readability_and_documentation,Readability and Documentation,6.0,9.5,3.5,,
S09,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.0,0.0,,
S09,official_sample,llm,unit_tests,Unit Tests,9.5,10.0,0.5,,
S09,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S09,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S09,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S09,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S09,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S10,official_sample,llm,basic_functionality,Basic Functionality,10.0,7.5,2.5,,
S10,official_sample,llm,unit_tests,Unit Tests,8.0,9.5,1.5,,
S10,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S10,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S10,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S10,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S10,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S11,official_sample,llm,basic_functionality,Basic Functionality,10.0,8.5,1.5,,
S11,official_sample,llm,unit_tests,Unit Tests,8.0,9.0,1.0,,
S11,official_sample,llm,class_design,Class Design,8.0,10.0,2.0,,
S11,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S11,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S11,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S11,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S12,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S12,official_sample,llm,unit_tests,Unit Tests,5.0,6.0,1.0,,
S12,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S12,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S12,official_sample,llm,collections_and_arrays,Collections and Arrays,7.0,9.0,2.0,,
S12,official_sample,llm,separation_of_concerns,Separation of Concerns,6.0,8.0,2.0,,
S12,official_sample,llm,readability_and_documentation,Readability and Documentation,3.0,8.0,5.0,,
S13,official_sample,llm,basic_functionality,Basic Functionality,8.5,7.5,1.0,,
S13,official_sample,llm,unit_tests,Unit Tests,9.5,10.0,0.5,,
S13,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S13,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S13,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S13,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S13,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S14,official_sample,llm,basic_functionality,Basic Functionality,8.0,7.5,0.5,,
S14,official_sample,llm,unit_tests,Unit Tests,9.0,8.0,1.0,,
S14,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S14,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S14,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S14,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10.0,3.0,,
S14,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S15,official_sample,llm,basic_functionality,Basic Functionality,8.0,7.5,0.5,,
S15,official_sample,llm,unit_tests,Unit Tests,5.0,8.0,3.0,,
S15,official_sample,llm,class_design,Class Design,9.5,9.0,0.5,,
S15,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S15,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S15,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10.0,2.0,,
S15,official_sample,llm,readability_and_documentation,Readability and Documentation,5.0,8.5,3.5,,
S16,official_sample,llm,basic_functionality,Basic Functionality,4.5,4.5,0.0,,
S16,official_sample,llm,unit_tests,Unit Tests,0.0,0,0.0,,
S16,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S16,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S16,official_sample,llm,collections_and_arrays,Collections and Arrays,0.0,9,9.0,,
S16,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10,3.0,,
S16,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,7,0.0,,
S17,official_sample,llm,basic_functionality,Basic Functionality,10.0,10,0.0,,
S17,official_sample,llm,unit_tests,Unit Tests,7.0,7,0.0,,
S17,official_sample,llm,class_design,Class Design,9.0,10,1.0,,
S17,official_sample,llm,object_references,Object References and Composition,9.0,10,1.0,,
S17,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S17,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10,1.0,,
S17,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S18,official_sample,llm,basic_functionality,Basic Functionality,7.5,8.0,0.5,,
S18,official_sample,llm,unit_tests,Unit Tests,7.0,10.0,3.0,,
S18,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S18,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S18,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S18,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,9.0,1.0,,
S18,official_sample,llm,readability_and_documentation,Readability and Documentation,9.5,10.0,0.5,,
S19,official_sample,llm,basic_functionality,Basic Functionality,10.0,10,0.0,,
S19,official_sample,llm,unit_tests,Unit Tests,8.0,10,2.0,,
S19,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S19,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S19,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S19,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10,0.0,,
S19,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S20,official_sample,llm,basic_functionality,Basic Functionality,8.0,8.5,0.5,,
S20,official_sample,llm,unit_tests,Unit Tests,7.0,10,3.0,,
S20,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S20,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S20,official_sample,llm,collections_and_arrays,Collections and Arrays,8.0,9,1.0,,
S20,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,9,1.0,,
S20,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S21,official_sample,llm,basic_functionality,Basic Functionality,8.0,7.5,0.5,,
S21,official_sample,llm,unit_tests,Unit Tests,7.0,6.0,1.0,,
S21,official_sample,llm,class_design,Class Design,10.0,8.0,2.0,,
S21,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S21,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S21,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,7.5,1.5,,
S21,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S22,official_sample,llm,basic_functionality,Basic Functionality,10.0,8.5,1.5,,
S22,official_sample,llm,unit_tests,Unit Tests,3.0,6.0,3.0,,
S22,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S22,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S22,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S22,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,9.0,2.0,,
S22,official_sample,llm,readability_and_documentation,Readability and Documentation,9.0,9.0,0.0,,
S23,official_sample,llm,basic_functionality,Basic Functionality,7.5,6.5,1.0,,
S23,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S23,official_sample,llm,class_design,Class Design,9.0,9.0,0.0,,
S23,official_sample,llm,object_references,Object References and Composition,8.0,10.0,2.0,,
S23,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,8.0,2.0,,
S23,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10.0,3.0,,
S23,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,7.0,0.0,,
S24,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S24,official_sample,llm,unit_tests,Unit Tests,7.0,8.0,1.0,,
S24,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S24,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S24,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S24,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10.0,2.0,,
S24,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S25,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.5,0.5,,
S25,official_sample,llm,unit_tests,Unit Tests,8.5,8.0,0.5,,
S25,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S25,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S25,official_sample,llm,collections_and_arrays,Collections and Arrays,8.0,10.0,2.0,,
S25,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S25,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S26,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.0,0.0,,
S26,official_sample,llm,unit_tests,Unit Tests,7.0,10.0,3.0,,
S26,official_sample,llm,class_design,Class Design,8.5,10.0,1.5,,
S26,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S26,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S26,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S26,official_sample,llm,readability_and_documentation,Readability and Documentation,8.0,9.0,1.0,,
S27,official_sample,llm,basic_functionality,Basic Functionality,8.5,7.0,1.5,,
S27,official_sample,llm,unit_tests,Unit Tests,5.0,4.5,0.5,,
S27,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S27,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S27,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S27,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,7.5,0.5,,
S27,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,10.0,3.0,,
S28,official_sample,llm,basic_functionality,Basic Functionality,8.5,7.5,1.0,,
S28,official_sample,llm,unit_tests,Unit Tests,9.0,10.0,1.0,,
S28,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S28,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S28,official_sample,llm,collections_and_arrays,Collections and Arrays,7.0,9.0,2.0,,
S28,official_sample,llm,separation_of_concerns,Separation of Concerns,5.0,10.0,5.0,,
S28,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S29,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S29,official_sample,llm,unit_tests,Unit Tests,10.0,10,0.0,,
S29,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S29,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S29,official_sample,llm,collections_and_arrays,Collections and Arrays,7.0,10,3.0,,
S29,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10,0.0,,
S29,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S30,official_sample,llm,basic_functionality,Basic Functionality,10.0,10,0.0,,
S30,official_sample,llm,unit_tests,Unit Tests,8.0,8,0.0,,
S30,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S30,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S30,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S30,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,8,1.0,,
S30,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,10,3.0,,
S31,official_sample,llm,basic_functionality,Basic Functionality,1.5,2.5,1.0,,
S31,official_sample,llm,unit_tests,Unit Tests,0.0,0,0.0,,
S31,official_sample,llm,class_design,Class Design,5.0,5,0.0,,
S31,official_sample,llm,object_references,Object References and Composition,10.0,8,2.0,,
S31,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S31,official_sample,llm,separation_of_concerns,Separation of Concerns,0.0,7,7.0,,
S31,official_sample,llm,readability_and_documentation,Readability and Documentation,5.0,6,1.0,,
S32,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.5,0.5,,
S32,official_sample,llm,unit_tests,Unit Tests,8.0,10,2.0,,
S32,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S32,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S32,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S32,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10,2.0,,
S32,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S33,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S33,official_sample,llm,unit_tests,Unit Tests,5.0,8.0,3.0,,
S33,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S33,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S33,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S33,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S33,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S34,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.0,1.0,,
S34,official_sample,llm,unit_tests,Unit Tests,9.0,10.0,1.0,,
S34,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S34,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S34,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S34,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S34,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S35,official_sample,llm,basic_functionality,Basic Functionality,0.0,6.5,6.5,,
S35,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S35,official_sample,llm,class_design,Class Design,4.0,9.0,5.0,,
S35,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S35,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S35,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S35,official_sample,llm,readability_and_documentation,Readability and Documentation,0.0,3.0,3.0,,
S36,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.5,0.5,,
S36,official_sample,llm,unit_tests,Unit Tests,9.5,8.0,1.5,,
S36,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S36,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S36,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S36,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S36,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S37,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S37,official_sample,llm,unit_tests,Unit Tests,9.0,10.0,1.0,,
S37,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S37,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S37,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S37,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S37,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S38,official_sample,llm,basic_functionality,Basic Functionality,8.5,7.5,1.0,,
S38,official_sample,llm,unit_tests,Unit Tests,10.0,10.0,0.0,,
S38,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S38,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S38,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S38,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10.0,2.0,,
S38,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S39,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.5,1.5,,
S39,official_sample,llm,unit_tests,Unit Tests,2.0,1.0,1.0,,
S39,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S39,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S39,official_sample,llm,collections_and_arrays,Collections and Arrays,5.0,10.0,5.0,,
S39,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10.0,3.0,,
S39,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S40,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S40,official_sample,llm,unit_tests,Unit Tests,10.0,9.5,0.5,,
S40,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S40,official_sample,llm,object_references,Object References and Composition,10.0,9.5,0.5,,
S40,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S40,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10,1.0,,
S40,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S41,official_sample,llm,basic_functionality,Basic Functionality,9.5,9.0,0.5,,
S41,official_sample,llm,unit_tests,Unit Tests,9.0,10.0,1.0,,
S41,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S41,official_sample,llm,object_references,Object References and Composition,9.0,9.0,0.0,,
S41,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S41,official_sample,llm,separation_of_concerns,Separation of Concerns,6.5,8.0,1.5,,
S41,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S42,official_sample,llm,basic_functionality,Basic Functionality,10.0,6.5,3.5,,
S42,official_sample,llm,unit_tests,Unit Tests,9.0,0.0,9.0,,
S42,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S42,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S42,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S42,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,8.0,1.0,,
S42,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S43,official_sample,llm,basic_functionality,Basic Functionality,6.5,5.5,1.0,,
S43,official_sample,llm,unit_tests,Unit Tests,2.0,0.0,2.0,,
S43,official_sample,llm,class_design,Class Design,8.0,9.5,1.5,,
S43,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S43,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S43,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,8.5,0.5,,
S43,official_sample,llm,readability_and_documentation,Readability and Documentation,8.0,10.0,2.0,,
S44,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S44,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S44,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S44,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S44,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S44,official_sample,llm,separation_of_concerns,Separation of Concerns,5.5,7.0,1.5,,
S44,official_sample,llm,readability_and_documentation,Readability and Documentation,2.0,8.0,6.0,,
S45,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.5,0.5,,
S45,official_sample,llm,unit_tests,Unit Tests,8.0,8.5,0.5,,
S45,official_sample,llm,class_design,Class Design,10.0,9.0,1.0,,
S45,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S45,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S45,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,9.0,1.0,,
S45,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,9.5,0.5,,
S46,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S46,official_sample,llm,unit_tests,Unit Tests,9.5,9.0,0.5,,
S46,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S46,official_sample,llm,object_references,Object References and Composition,10.0,9.0,1.0,,
S46,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S46,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S46,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,10.0,3.0,,
S47,official_sample,llm,basic_functionality,Basic Functionality,10.0,10,0.0,,
S47,official_sample,llm,unit_tests,Unit Tests,9.5,9,0.5,,
S47,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S47,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S47,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S47,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10,3.0,,
S47,official_sample,llm,readability_and_documentation,Readability and Documentation,0.0,6,6.0,,
S48,official_sample,llm,basic_functionality,Basic Functionality,8.0,8.5,0.5,,
S48,official_sample,llm,unit_tests,Unit Tests,7.0,8.0,1.0,,
S48,official_sample,llm,class_design,Class Design,9.0,9.0,0.0,,
S48,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S48,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,9.0,1.0,,
S48,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10.0,2.0,,
S48,official_sample,llm,readability_and_documentation,Readability and Documentation,5.0,8.0,3.0,,
S49,official_sample,llm,basic_functionality,Basic Functionality,10,10,0.0,,
S49,official_sample,llm,unit_tests,Unit Tests,9.0,10,1.0,,
S49,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S49,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S49,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S49,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10,2.0,,
S49,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S50,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.0,1.0,,
S50,official_sample,llm,unit_tests,Unit Tests,9.5,10.0,0.5,,
S50,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S50,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S50,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S50,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S50,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S51,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S51,official_sample,llm,unit_tests,Unit Tests,9.5,9.0,0.5,,
S51,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S51,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
